tip_label,species,action
Willemetia_stipitata_519273_PHA009889_BGN_ILH,Willemetia_stipitata,direct match
Viola_thomasiana_1042419_PHA009855_BGN_LH,Viola_thomasiana,direct match
Viola_rupestris_502521_PHA009850_BGN_LK,Viola_rupestris,direct match
Viola_riviniana_214052_TROM_V_940077_BXA_BQH,Viola_riviniana,direct match
Viola_reichenbachiana_97450_TROM_V_78012_CDM_AVT,Viola_reichenbachiana,direct match
Viola_palustris_462882_PHA009835_BGN_KP,Viola_palustris,direct match
Viola_hirta_369421_PHA009811_BGN_ML,Viola_hirta,direct match
Viola_dubyana_1534730_PHA009805_BGN_FGA,Viola_dubyana,direct match
Viola_comollia_214043_PHA009796_BGN_RA,Viola_comollia,direct match
Viola_collina_333555_PHA009793_BGN_MP,Viola_collina,direct match
Viola_canina_canina_502511_PHA009788_BGN_MG,Viola_canina,direct match
Viola_calcarata_calcarata_97420_PHA009784_BGN_FV,Viola_calcarata,direct match
Viola_biflora_214529_TROM_V_962443_BXA_BQA,Viola_biflora,direct match
Viola_alpina_1534725_PHA009775_BGN_ALE,Viola_alpina,direct match
Vincetoxicum_hirundinaria_141524_TROM_V_170714_CDM_AVX,Vincetoxicum_hirundinaria,direct match
Vinca_minor_60093_PHA010074_RSZ_RSZAXPI001338-85,Vinca_minor,direct match
Vicia_sylvatica_287755_TROM_V_96652_BXA_BPV,Vicia_sylvatica,direct match
Vicia_sepium_347188_TROM_V_651632_BMB_BL,Vicia_sepium,direct match
Vicia_oroboides_516870_PHA009735_BGN_KBB,Vicia_oroboides,direct match
Vicia_cracca_cracca_3905_PHA009707_BGN_IIR,Vicia_cracca,direct match
Viburnum_lantana_237945_PHA009698_BGN_AAV,Viburnum_lantana,direct match
Veronica_urticifolia_165344_PHA009692_BGN_CES,Veronica_urticifolia,direct match
Veronica_serpyllifolia_164258_TROM_V_962017_BMB_EH,Veronica_serpyllifolia,direct match
Veronica_montana_165339_PHA009663_BGN_LEE,Veronica_montana,direct match
Veronica_fruticans_207273_PHA009647_BGN_AHE,Veronica_fruticans,direct match
Veronica_chamaedrys_chamaedrys_913027_PHA009637_BGN_ADF,Veronica_chamaedrys,direct match
Veronica_bellidioides_165329_PHA009632_BGN_FIE,Veronica_bellidioides,direct match
Veronica_beccabunga_165328_TROM_V_56434_CDM_AWL,Veronica_beccabunga,direct match
Veronica_aphylla_201447_PHA009618_BGN_ICB,Veronica_aphylla,direct match
Veronica_alpina_subsp_alpina_1734435_TROM_V_651758_BXA_BPB,Veronica_alpina,direct match
Verbascum_thapsus_thapsus_39388_PHA009604_BGN_IBC,Verbascum_thapsus,direct match
Verbascum_nigrum_90364_PHA009589_BGN_BSI,Verbascum_nigrum,direct match
Verbascum_lychnitis_1000433_PHA009586_BGN_BEI,Verbascum_lychnitis,direct match
Verbascum_densiflorum_1534716_PHA009583_BGN_KIC,Verbascum_densiflorum,direct match
Veratrum_album_album_1486855_PHA010073_AXZ_V,Veratrum_album,direct match
Valeriana_tripteris_183955_PHA009538_BGN_BSG,Valeriana_tripteris,direct match
Valeriana_supina_243117_PHA009535_BGN_IRH,Valeriana_supina,direct match
Valeriana_saxatilis_882679_PHA009532_BGN_IIC,Valeriana_saxatilis,direct match
Valeriana_saliunca_245826_PHA009530_BGN_QBV,Valeriana_saliunca,direct match
Valeriana_officinalis_19953_PHA009523_BGN_AIL,Valeriana_officinalis,direct match
Valeriana_montana_243118_PHA010071_RSZ_RSZAXPI001337-84,Valeriana_montana,direct match
Valeriana_elongata_1534710_PHA009518_BGN_FIB,Valeriana_elongata,direct match
Valeriana_dioica_183948_PHA009517_BGN_BSE,Valeriana_dioica,direct match
Valeriana_celtica_celtica_243115_PHA009512_BGN_KKT,Valeriana_celtica,direct match
Vaccinium_vitis-idaea_subsp_minus_1149950_TROM_V_60478_BXA_BNV,Vaccinium_vitis-idaea,direct match
Vaccinium_uliginosum_190548_TROM_V_355003_CDM_APV,Vaccinium_uliginosum,direct match
Stellaria_nemorum_nemorum_325516_TROM_V_962655_BMB_PT,Stellaria_nemorum,direct match
Vaccinium_myrtillus_180763_PHA010070_BGN_LQB,Vaccinium_myrtillus,direct match
Urtica_dioica_3501_PHA010069_BGN_KSL,Urtica_dioica,direct match
Ulmus_minor_262084_PHA010068_RSZ_RSZAXPI000789-16,Ulmus_minor,direct match
Ulmus_glabra_172265_TROM_V_966117_BXA_BNL,Ulmus_glabra,direct match
Tussilago_farfara_118778_TROM_V_700009_BXA_BNK,Tussilago_farfara,direct match
Turritis_glabra_63678_PHA009449_BGN_FI,Turritis_glabra,direct match
Trollius_europaeus_212754_TROM_V_962136_BMB_AA,Trollius_europaeus,direct match
Trisetum_spicatum_100813_TROM_V_96352_BXA_BLL,Trisetum_spicatum,direct match
Trisetum_flavescens_purpurascens_87477_PHA009417_BGN_DSC,Trisetum_flavescens,direct match
Trisetum_distichophyllum_470288_PHA009413_BGN_BSC,Trisetum_distichophyllum agg.,direct match
Trisetum_alpestre_1534696_PHA009407_BGN_IHN,Trisetum_alpestre,direct match
Trifolium_thalii_74531_PHA009383_BGN_AKD,Trifolium_thalii,direct match
Trifolium_rubens_97037_PHA009358_BGN_FH,Trifolium_rubens,direct match
Trifolium_repens_repens_3899_PHA009356_BGN_ACV,Trifolium_repens,direct match
Trifolium_pratense_pratense_1211620_PHA009352_BGN_ACE,Trifolium_pratense,direct match
Trifolium_pallescens_74526_PHA009346_BGN_FCM,Trifolium_pallescens,direct match
Trifolium_noricum_361947_PHA009341_BGN_IHK,Trifolium_noricum,direct match
